gene	gene_name	gate_type_GM12878	gate_type_K562	functional_category	cosmic_census_flag
STAG3	STAG3	SIMPLE_OR	INCONSISTENT	unknown	no
PLPP1	PLPP1	SIMPLE_AND	BIVALENT	unknown	no
CACNB1	CACNB1	SIMPLE_AND	INCONSISTENT	unknown	no
EVI5	EVI5	REPRESSED	SIMPLE_AND	unknown	no
STOML1	STOML1	SIMPLE_AND	INCONSISTENT	unknown	no
DHX29	DHX29	SIMPLE_AND	INCONSISTENT	unknown	no
RRP15	RRP15	SIMPLE_AND	COMPLEX	unknown	no
PMS2P4	PMS2P4	SIMPLE_OR	INCONSISTENT	unknown	no
NAV3	NAV3	REPRESSED	INCONSISTENT	unknown	no
ROGDI	ROGDI	SIMPLE_AND	INCONSISTENT	unknown	no
PDK3	PDK3	SIMPLE_AND	BIVALENT	metabolic	no
FGFR3	FGFR3	REPRESSED	SIMPLE_AND	kinase/signaling	yes
IFI35	IFI35	SIMPLE_AND	INCONSISTENT	unknown	no
PLEKHH3	PLEKHH3	SIMPLE_AND	INCONSISTENT	unknown	no
MEF2A	MEF2A	SIMPLE_AND	BIVALENT	transcription factor	no
TBC1D25	TBC1D25	SIMPLE_AND	INCONSISTENT	unknown	no
INPP5A	INPP5A	SIMPLE_AND	INCONSISTENT	unknown	no
GRIPAP1	GRIPAP1	SIMPLE_AND	INCONSISTENT	unknown	no
REEP1	REEP1	BIVALENT	REPRESSED	unknown	no
ATP11A	ATP11A	SIMPLE_AND	INCONSISTENT	unknown	no
TTC7A	TTC7A	SIMPLE_AND	INCONSISTENT	unknown	no
IFT80	IFT80	SIMPLE_AND	INCONSISTENT	unknown	no
SIRT2	SIRT2	COMPLEX	SIMPLE_AND	chromatin regulator	no
PPP2R5B	PPP2R5B	SIMPLE_AND	INCONSISTENT	unknown	no
PITX1	PITX1	BIVALENT	SIMPLE_AND	unknown	no
NUCKS1	NUCKS1	COMPLEX	SIMPLE_AND	unknown	no
BCL3	BCL3	SIMPLE_AND	INCONSISTENT	unknown	yes
KCNAB2	KCNAB2	SIMPLE_AND	INCONSISTENT	unknown	no
GAL	GAL	REPRESSED	SIMPLE_AND	unknown	no
FUNDC1	FUNDC1	SIMPLE_AND	INCONSISTENT	unknown	no
HES2	HES2	REPRESSED	INCONSISTENT	transcription factor	no
NEDD4	NEDD4	SIMPLE_AND	INCONSISTENT	unknown	no
UFD1	UFD1	COMPLEX	SIMPLE_AND	unknown	no
PHRF1	PHRF1	BIVALENT	SIMPLE_AND	unknown	no
SPTB	SPTB	BIVALENT	SIMPLE_AND	structural/other	no
SLC44A1	SLC44A1	SIMPLE_AND	INCONSISTENT	metabolic	no
FSTL3	FSTL3	SIMPLE_OR	INCONSISTENT	unknown	yes
RNF126	RNF126	SIMPLE_AND	COMPLEX	unknown	no
MNT	MNT	SIMPLE_AND	INCONSISTENT	unknown	no
ZXDC	ZXDC	SIMPLE_AND	INCONSISTENT	unknown	no
WIPI1	WIPI1	SIMPLE_AND	INCONSISTENT	unknown	no
TESK2	TESK2	SIMPLE_AND	INCONSISTENT	unknown	no
PTPN21	PTPN21	BIVALENT	INCONSISTENT	unknown	no
TCOF1	TCOF1	SIMPLE_AND	BIVALENT	unknown	no
TRPM5	TRPM5	REPRESSED	INCONSISTENT	unknown	no
NCK2	NCK2	SIMPLE_AND	INCONSISTENT	unknown	no
MAP4K4	MAP4K4	BIVALENT	SIMPLE_AND	kinase/signaling	no
MGAT4A	MGAT4A	SIMPLE_OR	BIVALENT	unknown	no
SNX13	SNX13	BIVALENT	SIMPLE_AND	unknown	no
ARHGAP10	ARHGAP10	SIMPLE_AND	BIVALENT	unknown	no
SEL1L	SEL1L	COMPLEX	INCONSISTENT	unknown	no
ATP6AP1	ATP6AP1	SIMPLE_OR	SIMPLE_AND	unknown	no
TRIB2	TRIB2	BIVALENT	SIMPLE_AND	unknown	no
ADGRL1	ADGRL1	SIMPLE_OR	SIMPLE_AND	unknown	no
ACTN1	ACTN1	BIVALENT	SIMPLE_AND	structural/other	no
