gene_id	gene_name	GM12878_gate_type	K562_gate_type	switch_category
ENSG00000008128	CDK11A	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000008130	NADK	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000008226	DLEC1	BIVALENT	REPRESSED	complex->complex
ENSG00000008256	CYTH3	SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000008277	ADAM22	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000008282	SYPL1	SIMPLE_AND	COMPLEX	simple->complex
ENSG00000008283	CYB561	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000008294	SPAG9	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000008300	CELSR3	BIVALENT	INCONSISTENT	complex->complex
ENSG00000008311	AASS	SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000008323	PLEKHG6	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000008324	SS18L2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000008382	MPND	SIMPLE_AND	INCONSISTENT	simple->complex
