gene_id	gene_name	gate_type_GM12878	gate_type_K562	switch_direction	GM12878_expression	K562_expression	replicate_check
ENSG00000169660	HEXD	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169683	LRRC45	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169684	CHRNA5	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169715	MT1E	BIVALENT	REPRESSED	BIV→REP			NOT_EVALUATED_consensus_calls_only
ENSG00000169740	ZNF32	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169752	NRG4	SIMPLE_OR	BIVALENT	OR→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000169758	TMEM266	SIMPLE_OR	BIVALENT	OR→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000169760	NLGN1	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169783	LINGO1	REPRESSED	BIVALENT	REP→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000169814	BTD	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169826	CSGALNACT2	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169856	ONECUT1	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169860	P2RY1	INCONSISTENT	SIMPLE_AND	INC→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000169871	TRIM56	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169884	WNT10B	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169891	REPS2	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169895	SYAP1	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169900	PYDC1	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169902	TPST1	SIMPLE_AND	BIVALENT	AND→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000169914	OTUD3	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169918	OTUD7A	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169926	KLF13	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169946	ZFPM2	INCONSISTENT	SIMPLE_AND	INC→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000169951	ZNF764	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169955	ZNF747	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169967	MAP3K2	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169981	ZNF35	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000169989	TIGD4	INCONSISTENT	BIVALENT	INC→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000169991	IFFO2	SIMPLE_AND	BIVALENT	AND→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000169992	NLGN2	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170006	TMEM154	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170011	MYRIP	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170049	KCNAB3	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170100	ZNF778	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170144	HNRNPA3	COMPLEX	SIMPLE_AND	CPX→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170145	SIK2	COMPLEX	SIMPLE_AND	CPX→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170175	CHRNB1	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170178	HOXD12	REPRESSED	BIVALENT	REP→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000170190	SLC16A5	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170191	NANP	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170222	ADPRM	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170231	FABP6	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170234	PWWP2A	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170260	ZNF212	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170264	FAM161A	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170270	GON7	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170271	FAXDC2	INCONSISTENT	SIMPLE_AND	INC→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170275	CRTAP	INCONSISTENT	COMPLEX	INC→CPX			NOT_EVALUATED_consensus_calls_only
ENSG00000170276	HSPB2	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170310	STX8	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170315	UBB	COMPLEX	SIMPLE_AND	CPX→AND			NOT_EVALUATED_consensus_calls_only
