Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
gs_ind_0,Regulation Of Biomineral Tissue Development (GO:0070167),4/20,0.6044244594660717,0.9999999999998647,1.0663544447848732,0.5368866220617171,DDR2;HEY1;S1PR1;CYP27B1
gs_ind_0,Regulation Of Biosynthetic Process (GO:0009889),1/8,0.8383192836348962,0.9999999999998647,0.7818181818181819,0.1378785183025454,SPHK2
gs_ind_0,Regulation Of Blood Circulation (GO:1903522),2/10,0.6351727324480614,0.9999999999998647,1.1500070758054626,0.5219402535113675,CAMK2D;PER2
gs_ind_0,Regulation Of Blood Coagulation (GO:0030193),1/16,0.9738872946210139,0.9999999999998647,0.3780508619218297,0.010003110870083008,PLAUR
gs_ind_0,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),3/37,0.9882294788745641,0.9999999999998647,0.3959500275532056,0.0046881837951800835,SIRT1;P2RX4;MAP2K3
gs_ind_0,Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903587),2/11,0.6886104060141844,0.9999999999998647,1.028869286287089,0.38385015860250277,HMOX1;PPP1R16B
gs_ind_0,Regulation Of Bone Mineralization (GO:0030500),6/38,0.8148382245634537,0.9999999999998647,0.7814678015095552,0.16001778805035846,S1PR1;ALOX5;BMPR2;CYP27B1;DDR2;OSR2
gs_ind_0,Regulation Of Bone Remodeling (GO:0046850),1/11,0.9183821192811181,0.9999999999998647,0.5583041297327012,0.04753497558033882,S1PR1
gs_ind_0,Regulation Of Bone Resorption (GO:0045124),4/16,0.4164508921822029,0.9999999999998647,1.4080500722195475,1.233433178794374,SYK;TNFAIP3;S1PR1;INPP5D
gs_ind_0,Regulation Of Brown Fat Cell Differentiation (GO:0090335),2/13,0.7760853855691137,0.9999999999998647,0.84979603221645,0.21541711776620684,SIRT1;NAPEPLD
gs_ind_0,"Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)",1/3,0.49498852941534904,0.9999999999998647,2.3464165464165463,1.650048661813499,SH3RF1
gs_ind_0,"Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043370)",3/6,0.10336734907900555,0.9999999999998647,3.912883041873897,8.880155572158289,SH3RF1;NCKAP1L;SOCS1
gs_ind_0,"Regulation Of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000561)",1/5,0.6797672063173691,0.9999999999998647,1.3033509700176367,0.5030998387884896,VSIR
gs_ind_0,"Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001185)",2/4,0.18640155558523228,0.9999999999998647,3.9119486768243785,6.571494931304808,HFE;SH3RF1
gs_ind_0,Regulation Of Carbohydrate Catabolic Process (GO:0043470),1/11,0.9183821192811181,0.9999999999998647,0.5583041297327012,0.04753497558033882,PPP1R3B
gs_ind_0,Regulation Of Carbohydrate Biosynthetic Process (GO:0043255),2/6,0.3535944927466926,0.9999999999998647,2.172948409516172,2.2590069951074945,SELENOS;PDK2
gs_ind_0,Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),19/149,0.9944954654155983,0.9999999999998647,0.5815802790428685,0.0032101721394243144,FUZ;TLE4;KANK1;TLE6;NFKB1;AMER1;BTRC;CYLD;STK3;SMURF2;CCDC88C;LATS2;RBX1;CCNYL1;MLLT3;SOX4;TMEM88;NPHP3;RNF146
gs_ind_0,Regulation Of Calcium-Mediated Signaling (GO:0050848),2/14,0.8111659406206002,0.9999999999998647,0.7817481956696071,0.1636063210775793,P2RX4;TMBIM4
