gene_id	gate_type	complexity_score	gene_id_clean	gene_name
ENSG00000004848	REPRESSED	1.0	ENSG00000004848	ARX
ENSG00000004864	SIMPLE_AND	1.0	ENSG00000004864	SLC25A13
ENSG00000004866	SIMPLE_AND	1.0	ENSG00000004866	ST7
ENSG00000004897	SIMPLE_AND	1.0	ENSG00000004897	CDC27
ENSG00000004939	NULL	-1.0	ENSG00000004939	SLC4A1
ENSG00000004948	NULL	-1.0	ENSG00000004948	CALCR
ENSG00000004961	SIMPLE_AND	1.0	ENSG00000004961	HCCS
ENSG00000004975	COMPLEX	4.0	ENSG00000004975	DVL2
ENSG00000005001	NULL	-1.0	ENSG00000005001	PRSS22
ENSG00000005007	SIMPLE_AND	1.0	ENSG00000005007	UPF1
ENSG00000005020	REPRESSED	1.0	ENSG00000005020	SKAP2
ENSG00000005022	SIMPLE_AND	1.0	ENSG00000005022	SLC25A5
ENSG00000005059	SIMPLE_AND	1.0	ENSG00000005059	MCUB
ENSG00000005073	BIVALENT	4.0	ENSG00000005073	HOXA11
ENSG00000005075	SIMPLE_OR	0.0	ENSG00000005075	POLR2J
ENSG00000005100	SIMPLE_AND	1.0	ENSG00000005100	DHX33
ENSG00000005102	SIMPLE_AND	1.0	ENSG00000005102	MEOX1
ENSG00000005108	REPRESSED	1.0	ENSG00000005108	THSD7A
ENSG00000005156	SIMPLE_AND	1.0	ENSG00000005156	LIG3
ENSG00000005175	SIMPLE_AND	1.0	ENSG00000005175	RPAP3
ENSG00000005187	NULL	-1.0	ENSG00000005187	ACSM3
ENSG00000005189	SIMPLE_AND	1.0	ENSG00000005189	REXO5
ENSG00000005194	SIMPLE_AND	1.0	ENSG00000005194	CIAPIN1
ENSG00000005206	SIMPLE_AND	1.0	ENSG00000005206	SPPL2B
ENSG00000005238	SIMPLE_AND	1.0	ENSG00000005238	ATOSB
ENSG00000005243	INCONSISTENT	1.0	ENSG00000005243	COPZ2
ENSG00000005249	BIVALENT	4.0	ENSG00000005249	PRKAR2B
ENSG00000005302	SIMPLE_AND	1.0	ENSG00000005302	MSL3
ENSG00000005339	SIMPLE_AND	1.0	ENSG00000005339	CREBBP
ENSG00000005379	SIMPLE_AND	1.0	ENSG00000005379	TSPOAP1
ENSG00000005381	NULL	-1.0	ENSG00000005381	MPO
ENSG00000005421	NULL	-1.0	ENSG00000005421	PON1
ENSG00000005436	SIMPLE_AND	1.0	ENSG00000005436	GCFC2
ENSG00000005448	SIMPLE_AND	1.0	ENSG00000005448	WDR54
ENSG00000005469	SIMPLE_AND	1.0	ENSG00000005469	CROT
ENSG00000005471	NULL	-1.0	ENSG00000005471	ABCB4
ENSG00000005483	SIMPLE_OR	0.0	ENSG00000005483	KMT2E
ENSG00000005486	SIMPLE_OR	0.0	ENSG00000005486	RHBDD2
ENSG00000005513	REPRESSED	1.0	ENSG00000005513	SOX8
ENSG00000005700	SIMPLE_AND	1.0	ENSG00000005700	IBTK
ENSG00000005801	COMPLEX	4.0	ENSG00000005801	ZNF195
ENSG00000005810	SIMPLE_AND	1.0	ENSG00000005810	MYCBP2
ENSG00000005812	SIMPLE_AND	1.0	ENSG00000005812	FBXL3
ENSG00000005844	SIMPLE_AND	1.0	ENSG00000005844	ITGAL
ENSG00000005882	SIMPLE_AND	1.0	ENSG00000005882	PDK2
ENSG00000005884	SIMPLE_AND	1.0	ENSG00000005884	ITGA3
ENSG00000005889	SIMPLE_AND	1.0	ENSG00000005889	ZFX
ENSG00000005893	SIMPLE_AND	1.0	ENSG00000005893	LAMP2
ENSG00000005961	NULL	-1.0	ENSG00000005961	ITGA2B
ENSG00000005981	NULL	-1.0	ENSG00000005981	ASB4
ENSG00000006007	SIMPLE_AND	1.0	ENSG00000006007	GDE1
ENSG00000006015	SIMPLE_AND	1.0	ENSG00000006015	REX1BD
ENSG00000006016	REPRESSED	1.0	ENSG00000006016	CRLF1
ENSG00000006025	SIMPLE_AND	1.0	ENSG00000006025	OSBPL7
