gene_id	gate_type_gm12878	gate_type_k562	and_origin
ENSG00000067836	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000067840	NULL	INCONSISTENT	NEITHER
ENSG00000067992	SIMPLE_AND	BIVALENT	GM12878
ENSG00000068078	REPRESSED	SIMPLE_AND	K562
ENSG00000068079	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000068137	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000068305	SIMPLE_AND	BIVALENT	GM12878
ENSG00000068354	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000068383	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000068400	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000068615	BIVALENT	REPRESSED	NEITHER
ENSG00000068650	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000068724	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000068745	NULL	SIMPLE_OR	NEITHER
ENSG00000068885	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000068903	COMPLEX	SIMPLE_AND	K562
ENSG00000068971	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000068976	NULL	INCONSISTENT	NEITHER
ENSG00000068985	NULL	INCONSISTENT	NEITHER
ENSG00000069011	BIVALENT	SIMPLE_AND	K562
ENSG00000069188	REPRESSED	NULL	NEITHER
ENSG00000069275	COMPLEX	SIMPLE_AND	K562
ENSG00000069399	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000069424	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000069482	REPRESSED	SIMPLE_AND	K562
ENSG00000069493	SIMPLE_OR	NULL	NEITHER
ENSG00000069509	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000069535	NULL	INCONSISTENT	NEITHER
ENSG00000069667	REPRESSED	NULL	NEITHER
