gene_id,gene_name,gm12878_detected,k562_detected,detected_in_both,in_current_background
ENSG00000026297,RNASET2,True,True,True,True
ENSG00000026508,CD44,True,True,True,True
ENSG00000026559,KCNG1,True,True,True,True
ENSG00000026652,AGPAT4,True,True,True,True
ENSG00000026751,SLAMF7,True,False,False,True
ENSG00000026950,BTN3A1,True,True,True,True
ENSG00000027001,MIPEP,True,True,True,True
ENSG00000027075,PRKCH,True,True,True,True
ENSG00000027644,INSRR,True,True,True,True
ENSG00000027697,IFNGR1,True,True,True,True
ENSG00000027847,B4GALT7,True,True,True,True
ENSG00000027869,SH2D2A,True,True,True,True
ENSG00000028116,VRK2,True,False,False,True
ENSG00000028137,TNFRSF1B,True,True,True,True
ENSG00000028203,VEZT,True,True,True,True
ENSG00000028277,POU2F2,True,True,True,True
ENSG00000028310,BRD9,True,True,True,True
ENSG00000028528,SNX1,True,True,True,True
ENSG00000028839,TBPL1,True,True,True,True
ENSG00000029153,BMAL2,True,True,True,True
ENSG00000029363,BCLAF1,True,True,True,True
ENSG00000029364,SLC39A9,True,True,True,True
ENSG00000029534,ANK1,False,True,False,True
ENSG00000029559,IBSP,False,False,False,True
ENSG00000029639,TFB1M,True,True,True,True
ENSG00000029725,RABEP1,True,True,True,True
ENSG00000029993,HMGB3,True,False,False,True
ENSG00000030066,NUP160,True,True,True,True
ENSG00000030110,BAK1,True,True,True,True
ENSG00000030304,MUSK,False,False,False,True
ENSG00000030419,IKZF2,True,True,True,True
ENSG00000030582,GRN,True,True,True,True
ENSG00000031003,FAM13B,False,False,False,True
ENSG00000031081,ARHGAP31,True,True,True,True
ENSG00000031691,CENPQ,True,True,True,True
ENSG00000031698,SARS1,True,True,True,True
ENSG00000031823,RANBP3,True,True,True,True
ENSG00000032219,ARID4A,True,True,True,True
ENSG00000032389,EIPR1,True,True,True,True
ENSG00000032444,PNPLA6,True,True,True,True
ENSG00000032742,IFT88,True,True,True,True
ENSG00000033011,ALG1,True,True,True,True
ENSG00000033030,ZCCHC8,True,True,True,True
ENSG00000033050,ABCF2,True,True,True,True
ENSG00000033100,CHPF2,True,True,True,True
ENSG00000033122,LRRC7,False,True,False,True
ENSG00000033170,FUT8,True,True,True,True
ENSG00000033178,UBA6,True,True,True,True
ENSG00000033327,GAB2,True,True,True,True
ENSG00000033627,ATP6V0A1,True,True,True,True
ENSG00000033800,PIAS1,True,True,True,True
ENSG00000033867,SLC4A7,True,True,True,True
ENSG00000034053,APBA2,False,True,False,True
ENSG00000034152,MAP2K3,True,True,True,True
ENSG00000034239,CLXN,True,False,False,True
ENSG00000034510,TMSB10,True,True,True,True
ENSG00000034533,ASTE1,True,True,True,True
ENSG00000034677,RNF19A,False,True,False,True
ENSG00000034693,PEX3,True,True,True,True
ENSG00000034713,GABARAPL2,True,True,True,True
ENSG00000034971,MYOC,False,True,False,True
ENSG00000035115,SH3YL1,True,True,True,True
ENSG00000035141,TIMCC,True,True,True,True
ENSG00000035403,VCL,False,True,False,True
ENSG00000035499,DEPDC1B,True,True,True,True
ENSG00000035664,DAPK2,False,True,False,True
ENSG00000035681,NSMAF,True,True,True,True
ENSG00000035687,ADSS2,True,True,True,True
ENSG00000035720,STAP1,True,False,False,True
ENSG00000035862,TIMP2,True,False,False,True
ENSG00000035928,RFC1,True,True,True,True
ENSG00000036054,TBC1D23,True,True,True,True
ENSG00000036257,CUL3,True,True,True,True
ENSG00000036448,MYOM2,False,True,False,True
ENSG00000036473,OTC,False,False,False,True
ENSG00000036530,CYP46A1,True,True,True,True
ENSG00000036549,ZZZ3,True,True,True,True
ENSG00000036565,SLC18A1,False,False,False,True
ENSG00000036672,USP2,True,True,True,True
ENSG00000036828,CASR,True,False,False,True
ENSG00000037042,TUBG2,True,False,False,True
ENSG00000037241,RPL26L1,True,True,True,True
ENSG00000037280,FLT4,False,True,False,True
ENSG00000037474,NSUN2,True,True,True,True
ENSG00000037637,FBXO42,True,True,True,True
ENSG00000037749,MFAP3,True,True,True,True
ENSG00000037757,MRI1,True,True,True,True
ENSG00000037897,METTL1,True,True,True,True
ENSG00000037965,HOXC8,True,True,True,True
ENSG00000038002,AGA,True,True,True,True
ENSG00000038210,PI4K2B,True,True,True,True
ENSG00000038219,BOD1L1,True,True,True,True
ENSG00000038274,MAT2B,True,True,True,True
ENSG00000038295,TLL1,True,False,False,True
ENSG00000038358,EDC4,True,True,True,True
ENSG00000038382,TRIO,True,True,True,True
ENSG00000038427,VCAN,True,True,True,True
ENSG00000038532,CLEC16A,True,True,True,True
ENSG00000038945,MSR1,False,False,False,True
ENSG00000039068,CDH1,True,False,False,True
ENSG00000039123,MTREX,True,True,True,True
